,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
60,4014014,2023-12-07T16:30:00.000+01:00,179,anyVehicle,23.76,carOrLightVehicle,28.0
61,4014015,2023-12-07T16:30:00.000+01:00,174,anyVehicle,13.32,carOrLightVehicle,57.0
62,4014016,2023-12-07T16:30:00.000+01:00,210,anyVehicle,15.12,carOrLightVehicle,54.0
63,4019011,2023-12-07T16:30:00.000+01:00,51,anyVehicle,41.4,carOrLightVehicle,5.0
64,4019012,2023-12-07T16:30:00.000+01:00,50,anyVehicle,45.72,carOrLightVehicle,3.0
65,4019013,2023-12-07T16:30:00.000+01:00,45,anyVehicle,47.16,carOrLightVehicle,3.0
66,4019014,2023-12-07T16:30:00.000+01:00,64,anyVehicle,53.64,carOrLightVehicle,3.0
67,4020013,2023-12-07T16:30:00.000+01:00,88,anyVehicle,24.48,carOrLightVehicle,33.0
68,4020014,2023-12-07T16:30:00.000+01:00,110,anyVehicle,27.0,carOrLightVehicle,21.0
69,4022011,2023-12-07T16:30:00.000+01:00,109,anyVehicle,50.04,carOrLightVehicle,4.0
70,4022012,2023-12-07T16:30:00.000+01:00,79,anyVehicle,54.0,carOrLightVehicle,3.0
71,4022021,2023-12-07T16:30:00.000+01:00,135,anyVehicle,35.28,carOrLightVehicle,10.0
72,4022022,2023-12-07T16:30:00.000+01:00,91,anyVehicle,35.28,carOrLightVehicle,7.0
73,4024011,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
74,4024012,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
75,4024013,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
76,4024014,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
77,4025011,2023-12-07T16:30:00.000+01:00,164,anyVehicle,41.76,carOrLightVehicle,8.0
78,4025021,2023-12-07T16:30:00.000+01:00,159,anyVehicle,42.12,carOrLightVehicle,8.0
79,4027011,2023-12-07T16:30:00.000+01:00,250,anyVehicle,30.6,carOrLightVehicle,18.0
80,4027012,2023-12-07T16:30:00.000+01:00,148,anyVehicle,10.08,carOrLightVehicle,40.0
81,4027013,2023-12-07T16:30:00.000+01:00,184,anyVehicle,11.88,carOrLightVehicle,37.0
82,4027021,2023-12-07T16:30:00.000+01:00,217,anyVehicle,55.08,carOrLightVehicle,8.0
83,4027022,2023-12-07T16:30:00.000+01:00,351,anyVehicle,55.08,carOrLightVehicle,13.0
84,4027023,2023-12-07T16:30:00.000+01:00,240,anyVehicle,62.64,carOrLightVehicle,7.0
85,4033011,2023-12-07T16:30:00.000+01:00,47,anyVehicle,48.96,carOrLightVehicle,3.0
86,4033012,2023-12-07T16:30:00.000+01:00,95,anyVehicle,44.28,carOrLightVehicle,7.0
87,4035011,2023-12-07T16:30:00.000+01:00,178,anyVehicle,37.8,carOrLightVehicle,9.0
88,4035012,2023-12-07T16:30:00.000+01:00,342,anyVehicle,29.52,carOrLightVehicle,23.0
89,4035013,2023-12-07T16:30:00.000+01:00,282,anyVehicle,21.96,carOrLightVehicle,29.0
90,4036011,2023-12-07T16:30:00.000+01:00,112,anyVehicle,45.72,carOrLightVehicle,5.0
91,4037011,2023-12-07T16:30:00.000+01:00,398,anyVehicle,31.32,carOrLightVehicle,29.0
92,4037012,2023-12-07T16:30:00.000+01:00,174,anyVehicle,60.48,carOrLightVehicle,5.0
93,4037013,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
94,4038011,2023-12-07T16:30:00.000+01:00,348,anyVehicle,33.12,carOrLightVehicle,24.0
95,4038012,2023-12-07T16:30:00.000+01:00,425,anyVehicle,38.88,carOrLightVehicle,23.0
96,4039011,2023-12-07T16:30:00.000+01:00,194,anyVehicle,46.8,carOrLightVehicle,8.0
97,4041011,2023-12-07T16:30:00.000+01:00,198,anyVehicle,39.6,carOrLightVehicle,11.0
98,4041012,2023-12-07T16:30:00.000+01:00,334,anyVehicle,48.96,carOrLightVehicle,15.0
99,4041013,2023-12-07T16:30:00.000+01:00,416,anyVehicle,53.28,carOrLightVehicle,16.0
100,4044011,2023-12-07T16:30:00.000+01:00,52,anyVehicle,40.32,carOrLightVehicle,4.0
101,4044012,2023-12-07T16:30:00.000+01:00,103,anyVehicle,37.8,carOrLightVehicle,11.0
102,4045011,2023-12-07T16:30:00.000+01:00,36,anyVehicle,37.08,carOrLightVehicle,7.0
103,4046011,2023-12-07T16:30:00.000+01:00,73,anyVehicle,45.0,carOrLightVehicle,6.0
104,4047011,2023-12-07T16:30:00.000+01:00,32,anyVehicle,47.16,carOrLightVehicle,2.0
105,4047012,2023-12-07T16:30:00.000+01:00,45,anyVehicle,47.16,carOrLightVehicle,3.0
106,4048011,2023-12-07T16:30:00.000+01:00,68,anyVehicle,43.92,carOrLightVehicle,5.0
107,4048012,2023-12-07T16:30:00.000+01:00,100,anyVehicle,46.08,carOrLightVehicle,8.0
108,4049011,2023-12-07T16:30:00.000+01:00,62,anyVehicle,34.2,carOrLightVehicle,6.0
109,4049012,2023-12-07T16:30:00.000+01:00,121,anyVehicle,34.92,carOrLightVehicle,25.0
110,4050011,2023-12-07T16:30:00.000+01:00,68,anyVehicle,46.44,carOrLightVehicle,5.0
111,4050012,2023-12-07T16:30:00.000+01:00,45,anyVehicle,47.52,carOrLightVehicle,3.0
112,4051011,2023-12-07T16:30:00.000+01:00,46,anyVehicle,49.32,carOrLightVehicle,3.0
113,4051012,2023-12-07T16:30:00.000+01:00,26,anyVehicle,53.28,carOrLightVehicle,1.0
114,4054011,2023-12-07T16:30:00.000+01:00,50,anyVehicle,53.64,carOrLightVehicle,3.0
115,4054012,2023-12-07T16:30:00.000+01:00,23,anyVehicle,55.8,carOrLightVehicle,1.0
116,4055011,2023-12-07T16:30:00.000+01:00,26,anyVehicle,51.84,carOrLightVehicle,1.0
117,4055012,2023-12-07T16:30:00.000+01:00,17,anyVehicle,55.44,carOrLightVehicle,1.0
118,4059011,2023-12-07T16:30:00.000+01:00,21,anyVehicle,47.88,carOrLightVehicle,1.0
119,4059012,2023-12-07T16:30:00.000+01:00,34,anyVehicle,48.24,carOrLightVehicle,2.0
120,4059013,2023-12-07T16:30:00.000+01:00,42,anyVehicle,45.0,carOrLightVehicle,3.0
121,4060011,2023-12-07T16:30:00.000+01:00,82,anyVehicle,42.84,carOrLightVehicle,7.0
122,4060012,2023-12-07T16:30:00.000+01:00,80,anyVehicle,45.0,carOrLightVehicle,6.0
123,4061011,2023-12-07T16:30:00.000+01:00,65,anyVehicle,34.56,carOrLightVehicle,7.0
124,4061012,2023-12-07T16:30:00.000+01:00,116,anyVehicle,34.92,carOrLightVehicle,11.0
125,4063011,2023-12-07T16:30:00.000+01:00,62,anyVehicle,39.24,carOrLightVehicle,5.0
126,4063012,2023-12-07T16:30:00.000+01:00,60,anyVehicle,39.24,carOrLightVehicle,5.0
127,4066011,2023-12-07T16:30:00.000+01:00,44,anyVehicle,45.36,carOrLightVehicle,3.0
128,4066012,2023-12-07T16:30:00.000+01:00,52,anyVehicle,48.24,carOrLightVehicle,3.0
129,4070011,2023-12-07T16:30:00.000+01:00,44,anyVehicle,51.84,carOrLightVehicle,3.0
130,4070012,2023-12-07T16:30:00.000+01:00,52,anyVehicle,54.72,carOrLightVehicle,3.0
131,4071011,2023-12-07T16:30:00.000+01:00,85,anyVehicle,51.48,carOrLightVehicle,5.0
132,4071012,2023-12-07T16:30:00.000+01:00,31,anyVehicle,55.8,carOrLightVehicle,1.0
133,4072011,2023-12-07T16:30:00.000+01:00,111,anyVehicle,41.76,carOrLightVehicle,11.0
134,4072012,2023-12-07T16:30:00.000+01:00,128,anyVehicle,45.72,carOrLightVehicle,10.0
135,4073011,2023-12-07T16:30:00.000+01:00,1,anyVehicle,25.56,carOrLightVehicle,0.0
136,4073012,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
137,4075011,2023-12-07T16:30:00.000+01:00,73,anyVehicle,33.48,carOrLightVehicle,8.0
138,4077011,2023-12-07T16:30:00.000+01:00,19,anyVehicle,51.84,carOrLightVehicle,1.0
139,4077012,2023-12-07T16:30:00.000+01:00,22,anyVehicle,51.12,carOrLightVehicle,1.0
140,4081011,2023-12-07T16:30:00.000+01:00,17,anyVehicle,58.32,carOrLightVehicle,1.0
141,4081012,2023-12-07T16:30:00.000+01:00,13,anyVehicle,55.44,carOrLightVehicle,0.0
142,4083011,2023-12-07T16:30:00.000+01:00,186,anyVehicle,33.12,carOrLightVehicle,20.0
143,4087011,2023-12-07T16:30:00.000+01:00,42,anyVehicle,48.96,carOrLightVehicle,2.0
144,4087012,2023-12-07T16:30:00.000+01:00,40,anyVehicle,50.04,carOrLightVehicle,2.0
145,4088011,2023-12-07T16:30:00.000+01:00,71,anyVehicle,38.52,carOrLightVehicle,6.0
146,4089011,2023-12-07T16:30:00.000+01:00,58,anyVehicle,43.92,carOrLightVehicle,10.0
147,4091011,2023-12-07T16:30:00.000+01:00,104,anyVehicle,43.92,carOrLightVehicle,7.0
148,4093011,2023-12-07T16:30:00.000+01:00,127,anyVehicle,44.64,carOrLightVehicle,10.0
149,4097011,2023-12-07T16:30:00.000+01:00,196,anyVehicle,57.96,carOrLightVehicle,7.0
150,4097012,2023-12-07T16:30:00.000+01:00,349,anyVehicle,53.64,carOrLightVehicle,13.0
151,4097013,2023-12-07T16:30:00.000+01:00,370,anyVehicle,55.44,carOrLightVehicle,13.0
152,4097021,2023-12-07T16:30:00.000+01:00,236,anyVehicle,37.44,carOrLightVehicle,14.0
153,4097022,2023-12-07T16:30:00.000+01:00,213,anyVehicle,15.84,carOrLightVehicle,35.0
154,4097023,2023-12-07T16:30:00.000+01:00,170,anyVehicle,20.16,carOrLightVehicle,26.0
155,4099011,2023-12-07T16:30:00.000+01:00,170,anyVehicle,29.88,carOrLightVehicle,19.0
156,4099012,2023-12-07T16:30:00.000+01:00,145,anyVehicle,21.96,carOrLightVehicle,30.0
157,4099013,2023-12-07T16:30:00.000+01:00,136,anyVehicle,18.72,carOrLightVehicle,58.0
158,4100011,2023-12-07T16:30:00.000+01:00,172,anyVehicle,16.2,carOrLightVehicle,30.0
159,4100012,2023-12-07T16:30:00.000+01:00,174,anyVehicle,20.88,carOrLightVehicle,32.0
160,4100021,2023-12-07T16:30:00.000+01:00,201,anyVehicle,57.24,carOrLightVehicle,7.0
161,4100022,2023-12-07T16:30:00.000+01:00,226,anyVehicle,59.76,carOrLightVehicle,8.0
162,4100031,2023-12-07T16:30:00.000+01:00,86,anyVehicle,56.52,carOrLightVehicle,3.0
163,4100032,2023-12-07T16:30:00.000+01:00,30,anyVehicle,56.52,carOrLightVehicle,1.0
164,4101011,2023-12-07T16:30:00.000+01:00,122,anyVehicle,25.56,carOrLightVehicle,20.0
165,4101012,2023-12-07T16:30:00.000+01:00,127,anyVehicle,19.44,carOrLightVehicle,18.0
166,4102011,2023-12-07T16:30:00.000+01:00,141,anyVehicle,37.8,carOrLightVehicle,8.0
167,4102012,2023-12-07T16:30:00.000+01:00,151,anyVehicle,12.96,carOrLightVehicle,29.0
168,4102013,2023-12-07T16:30:00.000+01:00,176,anyVehicle,19.44,carOrLightVehicle,22.0
169,4102021,2023-12-07T16:30:00.000+01:00,281,anyVehicle,35.64,carOrLightVehicle,22.0
170,4102022,2023-12-07T16:30:00.000+01:00,295,anyVehicle,38.16,carOrLightVehicle,28.0
171,4103011,2023-12-07T16:30:00.000+01:00,82,anyVehicle,42.12,carOrLightVehicle,4.0
172,4103012,2023-12-07T16:30:00.000+01:00,276,anyVehicle,46.44,carOrLightVehicle,13.0
173,4103013,2023-12-07T16:30:00.000+01:00,302,anyVehicle,48.6,carOrLightVehicle,16.0
174,4104011,2023-12-07T16:30:00.000+01:00,51,anyVehicle,13.32,carOrLightVehicle,7.0
175,4104012,2023-12-07T16:30:00.000+01:00,148,anyVehicle,14.04,carOrLightVehicle,28.0
176,4105011,2023-12-07T16:30:00.000+01:00,240,anyVehicle,53.28,carOrLightVehicle,8.0
